Source Title,Source Year,Study Type,Main Topic Area,Key Gaps Identified,Key Limitations Discussed,Key Recommendations,Contradictions Or Debates
Technology for monitoring everyday prosthesis use: a systematic review,2020,Systematic review,"multiple (design methods, customization, accessibility, user involvement)","Identifies lack of objective data on prosthesis wear patterns and task-specific use, scarcity of methods beyond step-count to characterize activity types and movement quality, absence of long-term and longitudinal monitoring studies (no studies >1 month and no longitudinal comparisons), and limited evidence on how to design and distribute prostheses to be accessible, affordable and meet user needs, especially in low-resource settings.","Highlights practical and methodological limitations: high cost, limited sensor battery-life and poor availability limiting clinical adoption; small sample sizes and high inter-individual variability reducing power to detect component differences; analysis tools and algorithms are not user-friendly, requiring technical skill; and cultural, contextual and logistical barriers (privacy, follow-up, infrastructure) affecting monitoring in low-resource settings.",Recommend developing a coordinated framework for out-of-clinic monitoring sensitive to low-resource contexts; use sensors that provide raw data for bespoke analyses and reproducibility; adopt user-centred design and consider acceptability/privacy in monitoring tools; create shared datasets with metadata standards to enable cross-study comparisons and early-warning use cases.,"Notes apparent contradictions: many component-comparison studies report no significant differences, but the review argues this may be due to methodological constraints rather than true equivalence. Also highlights discrepancy between clinic-based functional measures (e.g., K-level) and real-world activity, suggesting conflicting interpretations between lab assessments and community monitoring."
A Review of Design and Control Approaches in Lower-Limb Prosthetic Devices,2019,literature review / overview,"design methods, control approaches (design methods)",Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.
Challenges and strategies for the development and diffusion of assistive technologies,2025,Systematic Literature Review,"multiple (accessibility, customization, design methods, user involvement)","Identifies gaps in affordability and knowledge access, including high costs and limited user/clinician technical knowledge. Also highlights socio-cultural barriers and insufficient customization/personalization of devices to individual needs.","Highlights limitations including financial barriers, technological complexity, and gaps in professional and user training leading to limited effective adoption and sustainable use of AT.","Recommends increased customization/personalization of devices and public-private partnerships to reduce costs and improve access, plus continuous training programs for clinicians and users to address knowledge gaps.",Not mentioned in source.
Accessibility through Assistive Technology: A Systematic Evaluation for Individuals with Visual Impairment and Blindness,2025,systematic evaluation / review,accessibility,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.
Exploring the barriers to using assistive technology for individuals with chronic conditions: a meta-synthesis review,2020,Systematic review and meta-synthesis (thematic synthesis of qualitative studies),"Multiple (design methods, customization, accessibility, user involvement, service provision, societal barriers)",The review identifies gaps in transdiagnostic evidence (previous reviews focus on single populations); limited research on 'bricolage' and how users adapt everyday technologies across populations; insufficient high-quality evidence (RCTs/generic evidence) applicable to assistive technology decision-making; lack of research on dissemination and digital tools for sharing trustworthy information; and limited studies on how individuals adapt household technologies and maker-space approaches for personalized solutions.,The paper notes limitations including dependence on included studies' quality and heterogeneity which may mask shortcomings; loss of original study context during synthesis; and subjectivity in thematic analysis due to authors' perspectives. It also reports variable methodological quality among included studies (CASP scores ranged 6–19) implicitly limiting generalizability.,"Recommendations include increasing user involvement and personalized/co-produced care to improve design and service provision; develop trustworthy information dissemination channels and online tools; research and pilot maker-space and bricolage approaches to support adaptable, low-cost personalized solutions; and shift policy/service models from acute to long-term self-management focus (implicit across discussion).","The paper discusses a debate between the value of traditional evidence-based medicine (RCTs/generic evidence) and the need for individualized, experiential evidence for assistive technology. It argues RCTs may be inappropriate or insufficient for AT and that evidence requirements should incorporate qualitative, case-based and experiential data."
A review: accessible technology through participatory design,2020,Literature review (review paper),"user involvement (participatory design), accessibility, assistive technologies (multiple)","Identifies a gap in incorporating and elevating end-user voices in assistive technology development; participatory processes insufficiently capture users' ideas, desires and needs. Also notes limited collaborative frameworks to guide multidisciplinary development of accessible technologies.","Highlights limitations in current practice: weak multidisciplinary communication and limited collaboration between experts and people with disabilities, and inadequate assessment frameworks to address diverse disability characteristics and daily activity needs.",Recommends adopting participatory design approaches to produce holistic understandings of user motivation and rehabilitation needs and to inform customised technology requirements; encourages multidisciplinary collaboration and knowledge transfer between professionals and communities.,Not mentioned in source.
"Assistive technology needs, access and coverage, and related barriers and facilitators in the WHO European region: a scoping review",2022,Scoping review,"accessibility (coverage and access), barriers and facilitators across AT domains (multiple)","The paper identifies limited and low-quality data on AT prevalence and coverage, geographic gaps with evidence concentrated in six countries and many countries unrepresented, lack of standardized definitions and product categories and data-collection standards hindering comparisons, heterogeneity in assessment methods and sampling preventing comparability across studies, and overall scarcity of studies reporting prevalence/coverage (only 45 publications).","The review highlights limitations in the primary literature (small, non-representative samples limiting generalisability), and acknowledges review-level limitations: reliance on published academic and grey literature possibly missing primary government datasets, potential missed publications despite broad search and expert consultation, and possible selection bias because only two authors performed screening and extraction.","Recommendations include establishing standardized definitions and data-collection standards for functional impairments and AP categories, collecting baseline, nationally representative data on AT need and coverage across all countries including low-resourced ones, using WHO tools (rATA, ATA-C) to support data collection and system assessments, developing guidelines, policies and dedicated governance for AT procurement and recommendation, and mapping barriers using the 5 P framework and fostering multi-stakeholder collaborations.","The paper notes unclear and inconsistent evidence on AT coverage across studies, a disconnect between prevalence estimates and explanatory evidence due to methodological heterogeneity, and conflicting or variable prevalence findings across impairment types and age groups (e.g., higher met-need rates for sensory impairments but wide variation overall) attributed to differing data collection strategies."
Access to assistive technology for people with intellectual disabilities: a systematic review to identify barriers and facilitators,2018,Systematic review,"accessibility (assistive technology access), user involvement (people with ID)","Research gaps identified include limited evidence from low- and middle-income countries and rural areas, lack of demographic specificity about the ID population in existing studies (e.g. level of ID, comorbidities), and paucity of cost-effectiveness, policy implementation, market analyses, and urban–rural comparison studies related to AP for people with ID.","Limitations highlighted include heterogeneity of included studies and lack of demographic detail for people with ID, limiting comparability and specificity of conclusions; geographic bias with most studies from the USA and few from low-/middle-income settings; gaps where identified barriers often lack proposed facilitators. The literature shows dominant systemic limitations such as funding/cost barriers and widespread lack of awareness and inadequate assessment processes that impede access to AP.","Recommendations include establishing advocacy groups for people with ID; developing education and training for health professionals, people with ID and carers about AP needs and assessment; conducting research on cost-effectiveness, policy implementation, market analysis and urban–rural differences to inform policy and practice; and including people with ID in co-design and development of AP and services.","The paper does not report major contradictions in findings but notes that many identified barriers/facilitators are general to healthcare and not ID-specific, making it difficult to draw population-specific conclusions. Heterogeneous study designs and variable relevance contribute to inconsistent specificity across studies rather than direct conflicting findings."
Understanding the experiences and needs of assistive technology users in Queensland,2024,Exploratory sequential mixed methods study (not a review),accessibility; user involvement,"The paper identifies gaps in AT provision and uptake, with a high proportion of users reporting unmet needs (68%). It also highlights fragmented and time-consuming AT pathways and systemic barriers affecting access and trials.","The study highlights limitations including declining satisfaction along the AT pathway and systemic barriers preventing access to desired AT. Additionally, the need to enhance AT trial approaches is noted.","Recommended actions include multi-level strategies to overcome systemic barriers, enhancing AT trial approaches, and improving access to specialists to support appropriate provision.",Not mentioned in source.
Assistive Technology for the Upper Extremities After Stroke: Systematic Review of Users’ Needs,2018,Systematic review,user involvement (user perspectives) and usability; also design methods and practical applicability (multiple),"This review identifies gaps in how well current designs meet end-user needs and preferences, a lack of consolidated insight into user perspectives motivating the review itself, and insufficient integrated consideration of interdependent factors (performance, attitude, decision process, usability, practical applicability) during development.","The paper highlights limitations including insufficient therapeutic evidence or clear therapeutic base to justify use, negative or variable attitudes toward technology among users, lack of information for decision-making, and shortcomings in usability and practical applicability of devices.","Recommendations include designing devices with a clear therapeutic basis and demonstrated benefit, addressing usability and practical applicability in design processes, incorporating comprehensive user information and considering interdependent factors (performance, attitude, decision processes) together during development, and tailoring priorities to personal factors and context of use.",Not mentioned in source.
Design and assistive technology: a tinder match waiting to happen,2024,Systematic review (PRISMA-guided literature review),multiple,"The review identifies limited interdisciplinary research linking design methods with OT-led AT practice and a persistent disconnect between the design community and occupational therapy literature. It notes few studies that applied design methods to AT abandonment, indicating an evidence gap in rigorous evaluations of design-led interventions to reduce abandonment. The paper explicitly calls for more research on how design can collaborate with healthcare professionals and users to improve AT outcomes.","The paper highlights limitations including poor AT design, production and execution contributing to abandonment; systemic barriers such as communication, ethical concerns, time and cost constraints that hinder design engagement with AT practice; high abandonment rates (~30% in first year) emphasizing the scale of the problem; and siloed practices between design and healthcare leading to unsustainable interventions.","Recommendations include adopting participatory and design management methods in AT development and service delivery to reduce abandonment, promoting interdisciplinary collaboration between designers and OTs across the AT lifecycle, and conducting further research to evaluate and define the role of design in improving AT outcomes and reducing abandonment.","The paper notes tensions between optimism for design methods' benefits and practical challenges in integrating designers into healthcare research (e.g., some studies used design methods without designers). It highlights debate on the scale of impact—whether design interventions should focus on individual/community artefacts or be scaled to systemic/policy levels—indicating differing perspectives in the literature."
Impediments to Assistive Technology Accessibility for Students With Disabilities in Higher Education Institutions: A Systematic Review,2025,Systematic review,"accessibility (also touches on customization and user involvement, institutional capacity)","The review identifies gaps including limited research explaining why developing countries lag in AT access; lack of evidence on effective strategies to overcome stigmatization and normalize AT use; unanswered questions about frameworks for public awareness, learner retention in nonresponsive environments, and capacity-strengthening models for instructors; limited data on prevalence/impact of AT in HEIs and need for bibliometric analyses; and scarce evidence on strategies to ensure AT meets user needs and supports customization and maintenance.","The paper highlights limitations including inadequate funding reducing AT availability and maintenance; community stigma and low awareness hindering use; limited instructor and student competencies to adopt and support AT; incompatibility and poor quality of many AT products leading to abandonment; and limitations of the review itself (scope restricted to HEIs, not assessing impacts, English/open-access only).","Recommend future research (bibliometric/extended reviews) to map trends and impacts and to explore frameworks for awareness and capacity-building; adopt Universal Design for Learning principles in AT design; HEIs should implement clear policies, guidelines and institutional capacity building for AT provision and maintenance; and invest in instructor training and user involvement in AT design and follow-up to reduce abandonment.","The paper does not report major contradictions but highlights tensions: global commitments (SDGs/WHO) versus persistent real-world gaps in HEIs, especially in low-income settings; and differing experiences across countries with high-income versus low/middle-income contexts showing inconsistent service quality and access. It also notes debated causes of abandonment (design mismatch vs. lack of follow-up) reflected in literature."
Barrier Assistive Technology in Inclusive Classroom,2021,systematic literature review,"accessibility, user involvement, design methods","The review identifies gaps in access and uptake of assistive technology caused by multiple, interconnected barriers including service provision and design barriers, information gaps, psychological and social barriers, and insufficient involvement of users and school decision-makers in design and implementation.",The paper highlights limitations in current practice such as persistent hurdles to obtaining and using assistive technology and the presence of interconnected barriers across disabilities that limit effective design and implementation.,"Recommendations include increasing user and stakeholder (school/decision-maker) involvement in design and provision processes and improving accessibility of information to raise awareness and address information, psychological and social barriers.",Not mentioned in source.
Assessing the implementation of user-centred design standards on assistive technology for persons with visual impairments: A systematic review,2023,Systematic review,"user involvement (user-centred design), design methods, accessibility (assistive technology)","Identified gaps include wide variation and poor characterization in understanding user needs and in applying UCD during early design and prototyping, vague reporting of user feedback and iteration, insufficient evidence to assess whether UCD promotes innovation or improves access, wellbeing, or satisfaction with AT, lack of evaluations in real-world contexts, and overall scarce evidence on effective UCD implementation in AT for visual impairment.","Limitations include inconsistent referencing to ISO UCD standards despite claiming UCD use, poor sampling design and small or non-probabilistic samples with unclear selection rationale, generally low methodological quality across studies with most failing several MMAT criteria, and an emphasis on system requirements and verification over user-centred validation and full user-context characterization.","Recommendations include improving UCD implementation and generating stronger evidence on UCD outcomes, capacity building and better planning for UCD across development teams, fostering multidisciplinary/transdisciplinary teams (engineering, clinicians, social scientists, rehabilitation professionals) to better address user needs and contexts, and shifting design focus toward enhancing user agency and wellbeing rather than solely fixing impairments.","The paper identifies a conceptual debate between 'user-centred' (focusing on interaction and functionality) and 'person-centred' (focusing on broader context and meaning) design streams, noting most studies follow the former while the latter is underrepresented. It also highlights limited empirical evidence on whether standards (like ISO 9241-210) drive innovation or improved outcomes, indicating uncertainty in the field."
Estimating need and coverage for five priority assistive products: a systematic review of global population-based research,2022,Systematic review,accessibility (assistive product need and coverage) and data/measurement methods (design methods & reporting); multiple,"The review identifies major gaps including lack of standardised AP data collection and reporting leading to incomparable indicators, sparse evidence from LMICs where needs are greatest, inconsistent definitions of AP access terms causing over/underestimation of need, limited research on effectiveness and follow-up of AT interventions, and uneven topic coverage with vision overrepresented while mobility, hearing and cognition are underrepresented.","The paper highlights limitations including heterogeneous assessment methods mixing clinical and self-report approaches limiting comparability, reliance on secondary analyses and small primary samples for mobility studies reducing robustness, inability to perform meta-analysis due to reporting variation, and possible missed studies because search terms used 'functional difficulty' rather than specific conditions.","Key recommendations are to establish a global minimum AP dataset with standardised measures, AP lists, indicators and measurement approaches; collect holistic data including personal and environmental factors and test methods in diverse contexts especially LMICs; integrate AP indicator modules into established population surveys for better secondary analyses; and distinguish AP use from met need to detect undermet need among users.","The paper identifies debates about appropriate assessment methods: equating functional difficulty prevalence with AP need vs. nuanced clinical and personal-factor assessments can lead to conflicting estimates. It notes tension between clinical assessments (more standardised) and self-report (captures personal/contextual factors but may be inaccurate), creating contradictory findings across studies."
"Assistive technology, information asymmetry and the role of brokerage services: a scoping review",2022,Scoping review,"accessibility (information access) and user involvement (brokerage, user participation)","The review identifies limited prior synthesis on information asymmetry and brokerage in AT (first review in the area), a lack of controlled trials testing brokerage versus typical models (evidence gap), poor coverage of low- and middle-income countries since nearly all included studies are from developed countries, and that web-based databases alone do not address needs such as trialling, training, maintenance, or loan services, pointing to service-design and implementation gaps.","The paper notes heterogeneity of included studies limits generalisability, geographic bias toward high-income settings restricting relevance to low/middle-income contexts, scarce controlled trial evidence on brokerage interventions, and concerns about sustainability and funding of web-based repository models.","Recommend establishing impartial brokerage and independent information sources to centre users in AT selection; combine web-based repositories with local trial/test centres, training, maintenance and follow-up support to improve outcomes; ensure ongoing access to information about emerging technologies and provide user training and follow-up; and conduct research (including controlled trials) to evaluate brokerage models, equity impacts and applicability in low/middle-income settings.","The paper documents variations and some conflicting patterns in preferred information sources: newer studies show increasing internet use, but some populations (long-term device users, certain occupational groups) still rely primarily on peers, family or print media. There is also a debate over the sufficiency and impartiality of web-based repositories: they improve access but may be unsustainable or risk loss of impartiality if funding models change."
Assessing the implementation of user-centred design standards on assistive technology for persons with visual impairments: a systematic review,2023,Systematic review,"user involvement (User-Centred Design), design methods, accessibility, customization (multiple)","Key gaps include inconsistent and superficial application of UCD principles with poor characterization of user needs and early-stage involvement; insufficient evidence on UCD's impact on innovation, access, wellbeing and satisfaction; emphasis on system architecture over user context and validation in real-world settings; and lack of multidisciplinary teams and perspectives in development processes.","The review highlights methodological limitations across studies: poor citation of applicable standards and inconsistent use of ISO 9241-210; generally low methodological quality with many studies failing multiple MMAT criteria; inadequate sampling, lack of power/sample rationale and overreliance on superficial quantitative usability measures; and sparse evaluation in real-world contexts limiting validation of AT in intended environments.","Recommendations include improving UCD implementation in AT development and strengthening evidence on its outcomes; capacity building and better planning for UCD across development teams and disciplines; promoting multidisciplinary/transdisciplinary teams to address social, clinical and technical dimensions; and focusing design on users' agency and wellbeing rather than solely functional impairment.","The paper identifies a conceptual debate between 'user-centred' (focus on interaction/functionality) and 'person-centred' (focus on broader life context and meaning) approaches to design, noting most studies adopt the narrower user-centred perspective while person-centred approaches are underrepresented."
Global need of Assistive Product and Assistive Technology for Individuals with Intellectual Disabilities: A Review,2024,Systematic review / literature review,"multiple (accessibility, customization, user involvement, design methods)","The review identifies several research and implementation gaps: lack of awareness and information about available AT and their types; insufficiencies in product range, quality, suitability and quantity leading to unavailability or abandonment; workforce capacity gaps and lack of trained personnel for AT provision; barriers in education (teacher education) and access that limit AT effectiveness in inclusion and accessibility for students. Additionally, global coverage and unmet need estimates suggest many remain without essential products, indicating gaps in distribution and policy implementation.","The paper highlights limitations including high costs and service delivery expenses restricting access; limited physical/geographical access in many contexts; weak policy, low prioritization and incomplete legislative coverage for AT provision.","Key recommendations include improving access to AT through integrated approaches across sectors; actively involving users and families as partners in AT selection and provision; and investing in research, innovation and enabling ecosystems (materials, AI, digital tech, new service models).",Not mentioned in source.
Stakeholder perspectives on research and development priorities for mobility assistive-technology: a literature review,2019,Literature review,multiple,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.
Assistive technology in developing countries: a review from the perspective of the Convention on the Rights of Persons with Disabilities,2011,Literature review,"multiple (accessibility, customization/product design, service delivery, user involvement)","The review finds major gaps in the literature: research is concentrated on leg prostheses and manual wheelchairs while other device types (e.g. hearing aids, diverse assistive technologies) are under-researched. There is a general lack of evidence to support CRPD implementation including limited studies on policy, service delivery, outcomes and international cooperation. The authors highlight a need for system-level research and holistic, cost-efficient provision strategies rather than isolated product studies <citations>3</citations]. They also identify scarce evidence to guide effective policies and legislation <citations>4</citations].","The paper highlights limitations in practice and evidence: assistive devices are often supplied without necessary associated services (assessment, fitting, training, follow-up), leading to abandonment or unsafe use. Many commonly used prosthetic components fail to meet ISO mechanical testing, indicating quality and safety concerns. Research limitations include low publication volume, lack of randomized trials, small sample sizes, and limited attention from funders and organizations <citations>5</citations].","Recommendations include prioritizing research and actions on policy, service delivery, outcomes, international cooperation, and product development to enable CRPD implementation. The authors call for system-level, holistic strategies for cost-efficient provision rather than isolated product-focused efforts <citations>1</citations]. They recommend that gender, age and disability perspectives be integrated into planning and evaluation <citations>2</citations]. Finally, they stress generating evidence to guide effective policies and legislation <citations>3</citations].",The paper notes conceptual debates: different models of disability (medical vs social) frame assistive technology either as correcting individual impairment or as reducing environmental barriers. There is also lack of consensus on how to define and measure quality of life in relation to assistive technology outcomes <citations>2</citations].
Improving access to assistive technologies: challenges and solutions in low- and middle-income countries,2018,Discussion / Policy review,"accessibility (assistive technology access), product design, capacity and policy (multiple)","The paper identifies four main gaps: low demand due to lack of awareness among beneficiaries, caregivers and health-care providers; product designs not sufficiently informed by users' and caregivers' preferences or by low-resource environments, limiting technology transfer; supply-side barriers including low production quality, financial constraints and scarcity of trained personnel; and a lack of high-quality evidence on effectiveness of assistive technologies.","Limitations highlighted include insufficient user-informed product design and poor adaptation to local environments, supply-side weaknesses such as low production quality, financial barriers and lack of trained personnel, and limited evidence base to guide selection and implementation of technologies.","Recommended actions: establish a national policy framework for assistive technology; incentivize product development to promote affordable assistive products; build workforce capacity via undergraduate and in-service training; enhance provision by integrating services into health systems; and ensure government leadership, multisectoral approaches and adequate funding underpin these actions.",Not mentioned in source.
"Design and Use of Assistive Technology: Social, Technical, Ethical, and Economic Challenges",2010,Edited volume / literature review and discussion papers (book with multiple chapters),"multiple (design methods, user involvement, accessibility, socio-technical issues)","Identifies gaps around privacy in data collection/analysis, heterogeneity of user populations (need for personalization), poor knowledge transfer of novel technologies into practice, and insufficient incorporation of user perspectives into design and clinical evaluation.","Highlights limitations including privacy risks in data practices, challenges addressing diverse user needs due to heterogeneity, and limited mechanisms for knowledge transfer and user integration in design processes.","Recommends integrating user experience into design and clinical evaluation, developing practical service models to improve academic-to-practice knowledge transfer, and cross-disciplinary approaches combining engineering, computer science, medicine, occupational therapy, and neurology to address complex challenges.",Not mentioned in source.
Information Technology and Universal Design: An Agenda for Accessible Technology,2003,Discussion paper / position paper,accessibility,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.
Assistive technology research: Evidence for a complex and growing field,2021,Discussion paper / Editorial,multiple,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.
Designing and using assistive technology : the human perspective,1998,Book / Edited volume (literature review and discussion chapters),"Multiple (design methods, accessibility, user involvement)",Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.
Discernment on assistive technology for the care and support requirements of older adults and differently-abled individuals,2023,Systematic review / literature review (self-described as systematic review),"Multiple (assistive technology applications across design methods, customization, accessibility, user involvement)","The review identifies limited sample sizes and insufficient caregiver-focused data as gaps, pointing out that ""Additional data and more work on caregivers are required for improving the prediction model."" It notes small study populations limit generalisability: ""The study population in most of the studies is very less, which makes it difficult to project device usability on a larger scale."" Economic evaluations are absent: ""Economic and cost-benefit analyses of available devices are not discussed by the researchers, which is an essential factor in the usage of rehabilitation devices."" Safety outcomes for caregivers and users are unstudied: ""Caregiver injury and the individual user's injury in the absence of a caregiver have not been studied."" The paper also highlights broad unresolved areas and need for research and affordability/technology maturation: ""Most of the reviewed research on assistive devices is marked by the rapid development of the field, yet, at the same time, there are gaps and scope for further research."" and ""Hardware and software development are required to bring affordable assistive devices to a wider population that needs them.""","The paper highlights device-level limitations including potential bias from caregiver-reported data: ""A likely drawback of the proposed game is that the caregivers' involvement may potentially provide biased and less valid answers (4)."" It notes some wearable or sensing systems are unsuitable for lower-functioning users: ""The limitation of the wearable device is that it used a bidirectional conversational module and wearable eye tracker which is not suitable for less-functioning individuals with autism."" Mechanical and actuator issues (bulky, heavy, high energy use) are raised: ""However, the actuator devices were bulky, stiff, consumed more energy, and heavy."" Fit and comfort concerns are repeatedly mentioned: ""Comfort and fit on wearing the device had to be taken care of."" Sensing/measurement limitations (image blurring) and usability/cost trade-offs are discussed: ""However, deformation may lead to modifications in muscle morphology, resulting in a blurry image and reducing the accuracy of segmentation."" and ""the inconvenience of wearing a headset and the high cost of the device are trade-offs of the device.""","Recommendations include pursuing future research on individual care, learning, and computer accessibility using assistive devices: ""Future research pathways relating to individual care using assistive devices for learning and computer accessibility are analyzed."" The authors call for hardware and software development to make affordable devices widely available: ""Hardware and software development are required to bring affordable assistive devices to a wider population that needs them."" They also suggest leveraging assistive-device research to inform other disease areas: ""This review emphasizes how most of the research on assistive devices can help advance research on other diseases."" and more broadly state ""There is a need for further research and development in the field of assistive technology which is likely to expand tremendously in the future.""","The paper notes inconsistencies and incomplete evidence in evaluated studies: it states behavioral studies in autism lacked data to determine social significance and that user tests often lacked acceptance/validation information: ""The study analyzed the behavioral studies that were done in past but found no data to ascertain whether the observed behaviors were socially significant."" and ""The studies presented more user test results but their acceptance and validations were not included."" It also highlights trade-offs in performance claims (e.g. high accuracy in constrained settings but tradeoffs in speed and generalisability): ""With less available training data, speakerbased automatic speech recognizers with mini vocabularies were built... The trade-offs were in message production speed and data outcomes range."""
The Evolution of Assistive Technology: A Literature Review of Technology Developments and Applications,2022,Systematic literature review (PRISMA),accessibility; design methods; customization; user involvement (multiple),Identifies lack of consolidated evidence on trends/applications and on mainstreaming of AT; calls for more research documenting evolution and impact of AT across user groups and contexts.,"Notes limitations in scope and sampling: English-only and open-access-only selection criteria, relatively small and uneven distribution across capability areas (e.g., visual overrepresented) which may bias findings.","Recommends adoption of Inclusive Design practices and designing for diverse groups (age, gender, ability, language, culture) to mainstream AT and reduce stigma; suggests continued systematic documentation of AT evolution to inform practice.",Highlights a tension/debate: historically AT focused on non-mainstream technologies but recent growth in mainstream technologies blurs lines between AT and consumer tech; discussion implies evolving viewpoints but no explicit contradictions in findings.
From assistive to inclusive? A systematic review of the uses and effects of technology to support people with pervasive support needs.,2024,Systematic review,"Multiple (assistive technology, universal/mainstream technology, accessibility/inclusion, user involvement)","The review identifies a lack of studies on mainstream (MT) and universal design (UD)-based technologies despite their use in practice, specific omissions of widely used devices (e.g., iPad, Crdl, Tovertafel) in the literature, and a gap in research on interventions that act across broader ecological systems or networks beyond the microsystem (need for studies on creating bigger networks and inclusion).","The review highlights methodological limitations in the evidence base: poor reporting/detail of participant characteristics leading to possible exclusion or misclassification; inclusion of studies regardless of MMAT quality without weighting or exclusion (potential bias); dominance of small, non-randomised intervention studies and individual-level deployments (limited generalisability and ecological validity).","The authors recommend research into MT and UD-based technologies (to reflect practice and improve inclusion), studies that implement interventions across multiple ecological system levels rather than solely individual-level deployments, and investigations into building broader social/technological networks for people with pervasive support needs to enhance belonging and QoL.","The review documents mixed findings: while most studies report positive QoL effects from technology use, some report no or negative effects—particularly impacting material well-being due to cost, accessibility, or technical issues. There is also a tension between widespread practical use of MT/UD technologies (reported anecdotally) and their underrepresentation in the empirical literature."
Transferring technology toward the European assistive technology industry: mechanisms and implications.,1997,Discussion paper / Review,design methods; accessibility; industry/technology transfer,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.
Accessibility in Technology: A Review,2020,literature review,accessibility,"Identifies gaps in proactive integration of accessibility into emerging technologies, and a need for holistic approaches to prevent new barriers from AI/VR/voice interfaces; emphasizes insufficient education, awareness, and proactive design practices.","Highlights limitations including lack of universal inclusivity of technological advances, complexity of implementation and advocacy, and challenges integrating accessibility into novel tech (AI/VR/voice).","Recommends proactive stakeholder engagement, holistic design approaches, and sustained education/awareness and innovation efforts to make technology universally accessible.",Does not identify specific contradictions or debates; notes ongoing challenges despite progress but no conflicting findings reported..
Accessible cell phone design: development and application of a needs analysis framework,2003,Applied user-centred design study (framework development) / literature-based discussion and case study (not a systematic review),user involvement; design methods; accessibility; customization (multiple),Identifies lack of developer attention to user-centred requirements for disabilities; scarcity of user-centred analysis tools/frameworks usable at low cost for consumer products including those for people with disabilities; need for richer contextual methods (ethnographic studies) to capture situational requirements.,Notes limitations including small sample size limiting scope of captured requirements; inadequacy of traditional requirements-engineering models for disability contexts; existing cognitive/engineering tools are too complex for practical use in consumer AT design.,"Recommend adoption and iterative use of the NARA framework early and throughout development to capture user requirements for accessibility and universal design; recommend using rolling-survey and mixed elicitation (interviews, focus groups, product interaction) to refine requirements; suggest future research employ ethnographic/contextual methods to expand requirement capture.","Highlights tension where design decisions that benefit one social group may disadvantage others and that definitions of success/failure vary across groups, indicating potential conflicts between market-driven design and universal design goals."
"Seeking information about assistive technology: Exploring current practices, challenges, and the need for smarter systems",2023,Qualitative literature-informed study (expert interview study) / Discussion paper,accessibility; design methods; user involvement (multiple),"The paper identifies major access gaps for AT globally, noting that 90% of people who need AT lack access. It highlights an information gap: current search engines and information systems fail to provide tailored, relevant data for AT professionals, reducing awareness and availability of suitable products. It also identifies a gap in support for diverse, multi-faceted user needs during the information-seeking and matching process.","The paper discusses limitations including fragmented, interdisciplinary AT marketplaces that complicate information retrieval; inadequate search tools that do not tailor results or surface necessary product information; and resulting reduced product awareness and ineffective AT provision as evidenced by expert interviews.","Recommend developing smarter AT information-seeking platforms with value-based design that support decision-making and need-matching, while embedding ethical protections for disability fairness. (No further specific methodological recommendations are given in the provided summary.)",Not mentioned in source.
Assistive Technologies for Individuals with a Disability from a Neurological Condition: A Narrative Review on the Multimodal Integration,2025,Narrative review,multiple,"The review identifies multiple research gaps: usability and training needs, accessibility and commercialization disparities, limited real-world testing and quantitative effectiveness data, unclear evidence on neuroplastic effects of AT use and need for studies on long-term functional/neural outcomes, cost and training barriers limiting diffusion of advanced devices like exoskeletons, and low levels of meaningful user involvement in design processes.","The paper highlights limitations including methodological limits of the review itself (narrative design, language restriction), technical limitations of ATs such as low ITR and high cognitive workload for BCIs, biomechanical/interaction issues with exoskeletons causing unnatural movement and donning complexity reducing adherence, and gaps in training/timing for AAC deployment affecting effectiveness.","Recommendations include developing multidimensional, user-centered, AI/ML-personalized ATs to improve adoption and efficacy, conducting studies on neuroplastic effects of AT use, adopting multidisciplinary HTA processes for evaluation and diffusion, and embedding ethical safeguards for data use and algorithmic bias in AI-driven ATs.","The review notes debates such as the comparative effectiveness/usability of BCIs versus alternative interfaces (eye-tracking) where BCIs may offer deeper integration but perform worse on speed/usability, and tensions around user involvement where its presence does not guarantee improved acceptance and can be shaped by stereotyping."
